FechaDocumento,Pico_0_B_M_A_TOP,Pico_B_M_A,EsFechaNomina,EsMayor2M,EsFinSemana,TotalVentaNeta,VentaContado,VentaCredito,UnidadesKit,TotalDsctos,Gramos,VentasNORTE,VentasOCCIDENTE,VentasCENTROORIENTE,Dolar,IPC,EsPicoAumetado,EsFechaEspecial
45322,0.5,0.33,0,0,0,1404500,1404500,0,41,0,410,184800,532000,687700,0.3902,0.106806452,0,0
45323,0.75,0.66,1,1,0,3252000,3252000,0,63,0,630,594800,742000,1915200,0.39275,0.107354839,3000000,1
45324,0.75,0.66,1,1,0,2149550,2149550,0,55,0,550,662150,710900,776500,0.391136,0.107903226,0,0
45325,0.75,0.66,1,1,1,3114700,3114700,0,72,0,720,632400,1102500,1379800,0.38955,109.0,3000000,1
45326,0.5,0.33,1,0,1,1700150,1700150,0,32,0,320,121500,0,1578650,0.389075,109.0,0,0
45327,0.0,0.33,1,0,0,380400,380400,0,14,0,140,162900,182500,35000,0.393814,0.107655172,0,0
45328,0.75,0.66,0,1,0,2062950,2062950,0,50,0,500,494300,169000,1399650,0.393814,0.106310345,0,0
45329,0.5,0.33,0,0,0,1380450,1380450,0,33,0,330,122000,292000,966450,0.393814,0.104965517,0,0
45330,0.75,0.66,0,1,0,2155600,2155600,0,50,0,500,1041600,395500,718500,0.395085,0.10362069,0,0
45331,0.5,0.33,0,0,0,1497750,1497750,0,32,0,320,74900,268000,1154850,0.39536,0.102275862,0,0
45332,0.75,0.66,0,1,1,2227650,2227650,0,51,0,510,393300,725000,1109350,0.395043,0.100931035,0,0
45333,0.5,0.33,0,0,1,1155800,1155800,0,26,0,260,121900,0,1033900,394.0,0.099586207,0,0
45334,0.75,0.66,0,1,0,2794250,2794250,0,43,0,430,933300,233500,1627450,0.391874,0.098241379,3000000,1
45335,0.5,0.33,0,0,0,1880340,1880340,0,45,0,450,683400,493000,703940,0.391874,0.096896552,0,0
45336,0.25,0.33,0,0,0,990200,990200,0,37,0,370,41700,479000,469500,0.391874,0.095551724,0,0
45337,0.75,0.66,1,1,0,2096800,2096800,0,46,0,460,541300,842100,713400,0.390901,0.094206897,0,0
45338,0.75,0.66,1,1,0,2961150,2961150,0,57,0,570,750700,1012000,1198450,0.39249,0.092862069,3000000,1
45339,0.75,0.66,1,1,1,2837800,2837800,0,72,0,720,1064500,527200,1246100,0.39175,0.091517241,3000000,1
45340,0.75,0.66,1,1,1,2314050,2314050,0,35,0,360,475800,0,1838250,0.390693,0.090172414,0,0
45341,0.5,0.33,1,0,0,1926400,1926400,0,53,0,530,210500,888500,827400,0.390407,0.088827586,0,0
45342,0.75,0.66,1,1,0,2312900,2312900,0,40,0,400,1019000,345500,948400,0.390407,0.087482759,0,0
45343,0.5,0.33,0,0,0,1886800,1886800,0,39,0,400,565800,366000,955000,0.390407,0.086137931,0,0
45344,0.25,0.33,0,0,0,863300,863300,0,28,0,280,114900,215000,533400,0.39156,0.084793103,0,0
45345,0.5,0.33,0,0,0,1614500,1614500,0,42,0,420,315100,430500,868900,0.392377,0.083448276,0,0
45346,0.75,0.66,0,1,1,2558100,2558100,0,51,0,510,864000,505200,1188900,0.391772,0.082103448,0,0
45347,0.5,0.33,0,0,1,1601300,1601300,0,29,0,290,493400,0,1107900,0.393026,0.080758621,0,0
45348,0.75,0.66,0,1,0,2653600,2653600,0,45,0,450,145600,917000,1591000,0.396438,0.079413793,0,0
45349,0.5,0.33,0,0,0,1824400,1824400,0,35,0,350,266500,650000,907900,0.396438,0.078068966,0,0
45350,0.5,0.33,0,0,0,1156800,1156800,0,29,0,290,71600,533500,551700,0.396438,0.076724138,0,0
45351,0.5,0.33,0,0,0,1880200,1880200,0,50,0,500,314100,715500,850600,0.39552,0.07537931,3000000,1
45352,0.75,0.66,1,1,0,2708400,2708400,0,65,0,650,39000,1537500,1131900,0.39275,0.074034483,3000000,1
45353,1.0,0.66,1,1,1,4744800,4744800,0,89,0,890,1089600,1045900,2609300,0.3923,0.072689655,3000000,1
45354,0.75,0.66,1,1,1,3919200,3919200,0,68,0,680,2686900,0,1232300,0.392051,0.07,0,0
45355,0.5,0.33,1,0,0,1653600,1653600,0,42,0,430,522900,662200,468500,0.39398,0.07,0,0
45356,0.75,0.66,1,1,0,2167000,2167000,0,53,0,530,987600,453500,725900,0.39398,0.069645161,0,0
45357,0.75,0.66,0,1,0,2035500,2035500,0,53,0,530,596300,732900,706300,0.39398,0.069290323,3000000,1
45358,0.75,0.66,0,1,0,3874100,3874100,0,58,0,590,2498400,702000,673700,0.394221,0.068935484,3000000,1
45359,0.75,0.66,0,1,0,2126200,2126200,0,52,0,520,642300,728600,755300,0.394006,0.068580645,0,0
45360,0.75,0.66,0,1,1,2426600,2426600,0,59,0,600,813650,576500,1036450,0.39195,0.068225807,0,0
45361,0.75,0.66,0,1,1,2768000,2768000,0,44,0,440,558800,0,2209200,0.391325,0.067870968,0,0
45362,0.5,0.33,0,0,0,1486200,1486200,0,41,0,410,498200,347400,640600,0.389979,0.067516129,0,0
45363,0.5,0.33,0,0,0,1718150,1718150,0,43,0,440,656500,460900,600750,0.389979,0.06716129,0,0
45364,0.75,0.66,0,1,0,2866500,2866500,0,47,0,470,1584300,454000,828200,0.389979,0.066806452,0,0
45365,0.75,0.66,0,1,0,2460200,2460200,0,48,0,480,522000,500500,1437700,0.391394,0.066451613,3000000,1
45366,0.75,0.66,1,1,0,3159200,3159200,0,65,0,650,787700,839500,1532000,0.391808,0.066096774,3000000,1
45367,1.0,0.66,1,1,1,4529200,4529200,0,85,0,850,1979200,492500,2057500,0.390112,0.065741936,3000000,1
45368,0.75,0.66,1,1,1,2862000,2862000,0,46,0,470,1392100,0,1469900,0.389026,0.065387097,0,0
45369,0.5,0.33,1,0,0,1921400,1921400,0,49,0,490,252400,338500,1330500,0.38775,0.065032258,0,0
45370,0.75,0.66,1,1,0,3536900,3536900,0,75,0,750,528000,867500,2141400,0.38775,0.064677419,0,0
45371,0.5,0.33,1,0,0,1165800,1165800,0,31,0,310,870800,273000,22000,0.38775,0.064322581,0,0
45372,0.75,0.66,0,1,0,3662800,3662800,0,67,0,680,730400,836500,2095900,0.389273,0.063967742,0,0
45373,0.75,0.66,0,1,0,2878800,2878800,0,57,0,570,1295000,470000,1113800,0.38756,0.063612903,3000000,1
45374,1.0,0.66,0,1,1,5146300,5146300,0,88,0,880,1300000,483400,3362900,0.386905,0.063258065,3000000,1
45375,0.75,0.66,0,1,1,2327450,2327450,0,40,0,410,662250,0,1665200,0.390566,0.062903226,0,0
45376,0.75,0.66,0,1,0,2728188,2728188,0,35,4840,350,1472588,0,1255600,0.389229,0.062548387,0,0
45377,0.75,0.66,0,1,0,2335600,2335600,0,44,0,440,1360000,202500,773100,0.389229,0.062193548,0,0
45378,0.75,0.66,0,1,0,3172750,3172750,0,61,0,630,1306200,381000,1485550,0.389229,0.06183871,0,0
45379,0.5,0.33,0,0,0,1034350,1034350,0,26,0,260,359900,0,674450,0.389441,0.061483871,0,0
